Caller Type,Caller Type Words,Caller Tag,Caller Tag Words,Caller Method,Caller Method Words,Caller Super Types,Calling Super Types Words,Called  Type,Called Type Words,Called  Tagged Type,Called Tagged Type Words,Called Method,Called Method Words
standalone.token.counter.StandaloneTokenCounter,token:counter,StandaloneTokenCounter,token:counter,runLogic,run:logic,AMapReduceTracer,a:map:reduce:tracer,java.util.Scanner,scanner,java.util.Scanner,scanner,Scanner,scanner
standalone.token.counter.StandaloneTokenCounter,token:counter,StandaloneTokenCounter,token:counter,runLogic,run:logic,AMapReduceTracer,a:map:reduce:tracer,gradingTools.comp533s19.assignment0.AMapReduceTracer,a:map:reduce:tracer,gradingTools.comp533s19.assignment0.AMapReduceTracer,a:map:reduce:tracer,traceNumbersPrompt,trace:numbers:prompt
standalone.token.counter.StandaloneTokenCounter,token:counter,StandaloneTokenCounter,token:counter,runLogic,run:logic,AMapReduceTracer,a:map:reduce:tracer,java.util.Scanner,scanner,java.util.Scanner,scanner,nextLine,next:line
standalone.token.counter.StandaloneTokenCounter,token:counter,StandaloneTokenCounter,token:counter,runLogic,run:logic,AMapReduceTracer,a:map:reduce:tracer,String,string,java.lang.String,string,equals,equals
standalone.token.counter.StandaloneTokenCounter,token:counter,StandaloneTokenCounter,token:counter,runLogic,run:logic,AMapReduceTracer,a:map:reduce:tracer,String,string,java.lang.String,string,split,split
standalone.token.counter.StandaloneTokenCounter,token:counter,StandaloneTokenCounter,token:counter,runLogic,run:logic,AMapReduceTracer,a:map:reduce:tracer,java.util.HashMap,hash:map,java.util.HashMap,hash:map,HashMap,hash:map
standalone.token.counter.StandaloneTokenCounter,token:counter,StandaloneTokenCounter,token:counter,runLogic,run:logic,AMapReduceTracer,a:map:reduce:tracer,java.util.HashMap,hash:map,java.util.HashMap,hash:map,containsKey,contains:key
standalone.token.counter.StandaloneTokenCounter,token:counter,StandaloneTokenCounter,token:counter,runLogic,run:logic,AMapReduceTracer,a:map:reduce:tracer,java.util.HashMap,hash:map,java.util.HashMap,hash:map,put,put
standalone.token.counter.StandaloneTokenCounter,token:counter,StandaloneTokenCounter,token:counter,runLogic,run:logic,AMapReduceTracer,a:map:reduce:tracer,java.util.HashMap,hash:map,java.util.HashMap,hash:map,get,get
standalone.token.counter.StandaloneTokenCounter,token:counter,StandaloneTokenCounter,token:counter,runLogic,run:logic,AMapReduceTracer,a:map:reduce:tracer,java.util.HashMap,hash:map,java.util.HashMap,hash:map,put,put
standalone.token.counter.StandaloneTokenCounter,token:counter,StandaloneTokenCounter,token:counter,runLogic,run:logic,AMapReduceTracer,a:map:reduce:tracer,java.util.HashMap,hash:map,java.util.HashMap,hash:map,containsKey,contains:key
standalone.token.counter.StandaloneTokenCounter,token:counter,StandaloneTokenCounter,token:counter,runLogic,run:logic,AMapReduceTracer,a:map:reduce:tracer,java.util.HashMap,hash:map,java.util.HashMap,hash:map,get,get
standalone.token.counter.StandaloneTokenCounter,token:counter,StandaloneTokenCounter,token:counter,runLogic,run:logic,AMapReduceTracer,a:map:reduce:tracer,java.util.HashMap,hash:map,java.util.HashMap,hash:map,size,size
standalone.token.counter.StandaloneTokenCounter,token:counter,StandaloneTokenCounter,token:counter,runLogic,run:logic,AMapReduceTracer,a:map:reduce:tracer,java.util.HashMap,hash:map,java.util.HashMap,hash:map,remove,remove
standalone.token.counter.StandaloneTokenCounter,token:counter,StandaloneTokenCounter,token:counter,runLogic,run:logic,AMapReduceTracer,a:map:reduce:tracer,gradingTools.comp533s19.assignment0.AMapReduceTracer,a:map:reduce:tracer,gradingTools.comp533s19.assignment0.AMapReduceTracer,a:map:reduce:tracer,trace,trace
standalone.token.counter.StandaloneTokenCounter,token:counter,StandaloneTokenCounter,token:counter,runLogic,run:logic,AMapReduceTracer,a:map:reduce:tracer,java.util.Scanner,scanner,java.util.Scanner,scanner,close,close
model.view.controller.ConnectSum,connect:sum,@StandAloneIntegerSummer,stand:alone:integer:summer,start,start,AMapReduceTracer,a:map:reduce:tracer,model.view.controller.Model,model,@ModelClass,model:class,Model,model
model.view.controller.ConnectSum,connect:sum,@StandAloneIntegerSummer,stand:alone:integer:summer,start,start,AMapReduceTracer,a:map:reduce:tracer,model.view.controller.View,view,@ViewClass,view:class,View,view
model.view.controller.ConnectSum,connect:sum,@StandAloneIntegerSummer,stand:alone:integer:summer,start,start,AMapReduceTracer,a:map:reduce:tracer,model.view.controller.Model,model,@ModelClass,model:class,addPropertyChangeListener,add:property:change:listener
model.view.controller.ConnectSum,connect:sum,@StandAloneIntegerSummer,stand:alone:integer:summer,start,start,AMapReduceTracer,a:map:reduce:tracer,model.view.controller.Controller,controller,@ControllerClass,controller:class,Controller,controller
model.view.controller.ConnectSum,connect:sum,@StandAloneIntegerSummer,stand:alone:integer:summer,start,start,AMapReduceTracer,a:map:reduce:tracer,java.util.Scanner,scanner,java.util.Scanner,scanner,Scanner,scanner
model.view.controller.ConnectSum,connect:sum,@StandAloneIntegerSummer,stand:alone:integer:summer,start,start,AMapReduceTracer,a:map:reduce:tracer,model.view.controller.Controller,controller,@ControllerClass,controller:class,gatherInputFromScanner,gather:input:from:scanner
model.view.controller.ConnectSum,connect:sum,@StandAloneIntegerSummer,stand:alone:integer:summer,main,main,AMapReduceTracer,a:map:reduce:tracer,model.view.controller.ConnectSum,connect:sum,@StandAloneIntegerSummer,stand:alone:integer:summer,start,start
model.view.controller.Model,model,@ModelClass,model:class,setNumThreads,set:num:threads,AMapReduceTracer:AMapReduceTracer:@ModelClass,a:map:reduce:tracer:a:map:reduce:tracer:model:class,java.beans.PropertyChangeEvent,property:change:event,java.beans.PropertyChangeEvent,property:change:event,PropertyChangeEvent,property:change:event
